permit_id,ref,depth,wap_max_rate,sd_ratio
20202237-01,E46/1471,65.5,60,0
20202237-01,CF09/0015,,0,0
99197,F45/0555,23.7,17.4,0.786
99197,F45/0806,7,17.4,0.832
207215,F45/0549,11,40.3,0.763
20157812,F45/0424,8.5,19.1,0.601
20157812,F45/0525,8.8,15.1,0.336
20158314,F45/0426,24,37.1,0.222
20158314,F45/0422,16.8,7.7,0
20158314,F45/0434,20.8,25.2,0
20181243,F45/0529,12.3,35.4,0.598
206951,F46/0815,20.2,11.6,0
206951,F46/0858,21,11.6,0
300909,F46/0903,20.9,20.8,0.656
301783,F46/0590,22.5,2.2,0
302554,F46/0953,36,11,0
20147283,F46/0985,30,20.8,0
20158393,F46/0640,24,20.3,0
20158397,F46/0627,23,8.2,0
20171438,F46/1090,25,2.5,0
20181497,F46/0239,14.6,,0
20181497,F46/0240,15.8,,0
20191367,F46/0246,20.7,232.7,0.242
20191367,F46/0344,21.3,249.4,0.211
20191367,F46/0797,23.9,288.2,0.318
20191367,F46/1009,22.5,61,0
20191367,F46/0343,22.7,55.4,0
20191367,F46/0505,19.7,138.5,0
20158402-V1,F46/0575,18,5,0
20158402-V1,F46/1014,17,5,0
20169677-V1,F46/0644,21.7,22,0
204330-V1,F45/0463,,24.9,1
204330-V1,F45/0576,9.5,0,0
204330-V1,F45/0795,10,33,1
202450,F45/0421,7,11.6,1
203259,F46/0920,6.5,4.6,0.548
20157839,F46/0955,9.5,16,0.513
20157860,F46/0954,10,22,0.427
20181081,F45/0727,15.7,12.5,0.55
20181578,F45/0393,7.8,5.8,0.906
20202036,CF12/5014,5,20,0
20136293-01-V1,F45/0406,,1.7,0
20136293-01-V1,F45/0726,14,5.2,0.429
20168804-V1,F45/0396,,0,0
20168804-V1,F45/0708,,8.1,0.775
20171014-02,F46/0440,,1.1,0
20191454-01,F46/0829,18.9,18.8,0
20191454-02,F45/0846,16.5,18.8,0
20191110-02,E46/0489,16,4.4,0
20191806,CG10/0031,10.6,2.9,0
20191666,E44/0200,26.5,0,0
20191666,E44/0403,35.4,0,0
20191666,E44/0615,29.5,0,0
20202119,CF12/5008,120,4.6,0
20181045,F45/0694,250,2.5,0
20181045,F45/0695,240,2.5,0
20202096,Pit,2.5,19.9,0
20202133,F45/0694,250,4,0
20202133,F45/0695,240,4,0
300199,F45/0402,,72,0.375
300781,F44/0183,22.9,40.1,0
300781,F44/0223,24,32.8,0.475
301359,F44/0080,8.5,70,0.203
302766,F44/0222,22.3,72,0.334
20146901,F45/0433,15.9,61,0.63
20147001,F44/0267,20.3,11.4,0
20147096,F45/0419,15.5,52.7,0.458
20147096,F45/0420,20.2,52.7,0.444
20147481,F44/0265,9.2,8.3,0.394
20147520,F44/0205,,16.2,0
20181131,F44/0246,10.5,45,0
20146373-V1,F44/0218,12.3,50,0.489
20171618-03,F44/0296,15.2,25,0
300869-V1,F44/0026,13,59.4,0.129
300869-V1,F44/0113,12,26.4,0
300869-V1,F44/0206,18,79.2,0.737
300942-V2,F44/0059,8.4,60,0.352
20191773,D46/0137,9.2,6.9,0.553
20191773,D46/0171,17.5,4.6,0.456
20191773,D46/0188,12.1,4.6,0
20202168,D45/0121,11.8,20,0.549
20202168,D45/0319,12,20,0.669
20202168,D45/0419,29.8,16,0.542
20201856-02,E45/0545,8.8,2.1,0
20201871-02,E45/0545,8.8,2.1,0
206312,E43/0046,15.9,68,0.616
20169247,F43/0032,95,75,0.272
20171135,E43/0020,17.9,80,0.402
20171135,E43/0045,14.3,49.9,0.293
20191815,F43/0043,111.1,106.1,0.057
20191826-02,CG10/0026,8,8.2,0.572
205657,E44/0409,30,33,0.268
207373,E44/0441,14.1,55,0.446
20136222,E44/0214,14.4,19.7,0
20136222,E44/0236,12.5,19.7,0
20136222,E44/0505,15,19.7,0
20136222,E44/0506,13.4,19.7,0
20136222,E44/0508,36,19.7,0
20136291,E44/0532,21.8,20,0.308
20146808,E44/0547,22.8,34.7,0.423
20146808,E44/0548,15.9,23.1,0.4
20157708,E44/0569,19.4,15,0.374
20157708,E44/0570,20.6,15,0.557
20157792,E44/0665,,6.3,0.855
20157859,E44/0544,27,60,0.307
20157859,E44/0561,28.6,0,0
20157859,E44/0614,35,0,0
20168756-03,E44/0619,28.6,0,0
20168756-03,E44/0620,27.8,77,0
20168756-03,E44/0621,29.8,0,0
302175,F44/0198,13,65,0.806
302313,F44/0198,13,31.9,0.807
302313,F44/0217,9.9,44.8,0.765
20146367,F44/0201,11.6,60.3,0.683
20181529,F44/0138,19.4,98,0.693
20136240-V1,F44/0193,18.9,8.3,0.332
20136240-V1,F44/0363,5.5,37.4,0.736
20136240-V1,F44/0432,6,37.4,1
301358-V2,CE11/0004,19.4,17.9,0
301358-V2,F44/0209,12.4,15,0
301358-V2,F44/0215,14.1,24.9,0
300911,F44/0323,54,35,0
300911,F44/0339,62,35,0
302193,F44/0256,57,95,0
20147078,F44/0075,23.9,25,0.468
20147301,F44/0388,34.3,121.5,0
20147428,F44/0389,68.3,424.2,0
20157592,F44/0390,55.6,60.2,0
20157991,F44/0406,25,120,0.08
20157991,F44/0419,35,0,0
20168772,F44/0308,29.5,58.3,0
20169332,F44/0228,36,80,0
20147195-V1,F44/0415,60,115.7,0
20147271-02,F44/0387,56.6,2.1,0
300143-V3,F44/0307,24.5,28.8,0
300143-V3,F44/0345,27,22.7,0
300143-V3,F44/0350,29,51.5,0
302429-01,F44/0264,59,55.9,0
302429-01,F44/0282,59.5,55.9,0
302630-01,F44/0359,58.6,70,0
