T,nc9
123,0.010200019
127.3387959,0.010538105
128.5462778,0.0110064
131.0397425,0.011705664
133.1095131,0.012494545
136.1970989,0.013580405
139.3579725,0.014760635
142.0771778,0.015985409
144.8497695,0.017186812
148.2128532,0.018545583
151.1055063,0.020750159
155.5509517,0.02255349
159.3553187,0.024691827
163.2527948,0.027328351
167.4478586,0.029595942
170.7163221,0.032168031
174.0486143,0.03458566
177.6604949,0.037319964
182.8876288,0.040710564
186.457545,0.044732191
192.6405464,0.050413666
201.2047064,0.057646202
204.1432057,0.062429439
209.6423997,0.068845581
214.7701146,0.076473305
217.9067571,0.081037703
225.677431,0.090016249
228.42073,0.094700227
233.6952955,0.103599346
240.8284226,0.114809593
246.9675129,0.127499938
253.2631132,0.137496889
262.274117,0.155277939
267.459596,0.169928845
275.2381703,0.188316455
283.0449957,0.206084637
287.4327275,0.226002686
293.1925337,0.241838097
298.188997,0.257089852
303.4473758,0.271399909
308.2591513,0.28801231
313.3297494,0.306176086
317.9275104,0.322654084
321.7489472,0.339336898
327.1939334,0.356850533
329.6741438,0.370576434
342.7310611,0.383863202
